BACTÉRIAS,GRAM,MORFOLOGIA,PATOLOGIAS ASSOCIADAS,RESPOSTA INFLAMATÓRIA,RESISTÊNCIA MICROBIANA
Bacillus anthracis,Positiva,Bastonetes,Antraz,"Inflamação local (cutânea), sistêmica (inalatória e gastrointestinal) com possível septicemia.","Altamente resistente a condições ambientais adversas e a certos antibióticos, devido à sua capacidade de formar esporos e a sua resistência natural a alguns fármacos"
Clostridium tetani,Positiva,Bastonetes,Tétano,"Inflamação local inicial (ferida), rigidez muscular e espasmos generalizados devido à toxina tetânica.","Apresenta resistência bacteriana devido à sua capacidade de formar esporos, tornando-o resistente a condições ambientais adversas, como calor e desinfetantes, e também a determinados antibióticos"
Enterococcus faecalis,Positiva,Coco,"Infecção urinária, endocardite, infecções hospitalares (feridas, cateteres)",Inflamação local com liberação de citocinas; possível resposta sistêmica em casos graves como endocardite.,"Apresenta resistência intrínseca a alguns antimicrobianos e pode adquirir resistência a outros através de diferentes mecanismos, incluindo resistência a vancomicina em algumas cepas."
Escherichia coli,Negativa,Bastonetes,"Infecção urinária, diarreia (enterotoxigênica, enterohemorrágica), sepse, meningite neonatal",Inflamação local (urina/intestino); sistêmica em sepse,"Cepas multirresistentes; produção de ESBL (β-lactamases de espectro estendido); resistência a penicilinas, cefalosporinas, quinolonas e carbapenêmicos em algumas cepas."
Klebsiella pneumoniae,Negativa,Bastonetes,"Pneumonia, infecções da corrente sanguínea, meningite e infecções hospitalares",Inflamação pulmonar intensa com formação de exsudato purulento; risco de resposta sistêmica em infecções graves (sepse),"Cepas produtoras de KPC (carbapenemase); resistência a β-lactâmicos, cefalosporinas e carbapenêmicos"
Neisseria meningitidis,Negativa,Coco,Meningite meningocócica e meningococcemia.,Inflamação meníngea com liberação intensa de citocinas; pode evoluir rapidamente para sepse e choque séptico,Casos esporádicos de resistência à penicilina e rifampicina; monitoramento é essencial em surtos
Pseudomonas aeruginosa,Negativa,Bastonetes,"Pneumonia, infecção urinária, infecção em feridas e queimaduras, infecções de pele e tecidos moles, e infecções do trato respiratório em pacientes com fibrose cística","Inflamação intensa, geralmente purulenta; resposta imune prolongada com liberação de citocinas e dano tecidual","Alta resistência intrínseca e adquirida; multirresistente a β-lactâmicos, quinolonas e aminoglicosídeos"
Salmonella spp.,Negativa,Bastonetes,"Salmonelose (diarreia, febre, dor abdominal), febre tifoide (em S. Typhi e S. Paratyphi)","Inflamação intestinal (diarreia, dor abdominal, febre); resposta sistêmica em casos de sepse ou febre tifoide","Resistência a múltiplos antibióticos (especialmente em cepas de S. Typhi); resistência a ampicilina, tetraciclina e sulfonamidas"
Staphylococcus aureus,Positiva,Coco,"Infecções de pele (furúnculos, abscessos), pneumonia, endocardite, osteomielite, sepse, síndrome do choque tóxico, intoxicação alimentar","Inflamação local com formação de pus (abscessos, furúnculos); resposta sistêmica em infecções graves como sepse e síndrome do choque tóxico","Alta resistência a antibióticos, incluindo cepas de S. aureus resistentes à meticilina (MRSA); resistência a penicilinas, cefalosporinas e outros antibióticos β-lactâmicos"
Streptococcus pneumoniae,Positiva,Coco,"Pneumonia, meningite, sinusite, otite média, bacteremia",Inflamação pulmonar com exsudato purulento (pneumonia); meningite com edema e infiltração de células inflamatórias no cérebro; febre e leucocitose,Resistência a penicilina e outros antibióticos devido à produção de betalactamase em algumas cepas; resistência crescente a macrolídeos e tetraciclinas
Streptococcus pyogenes,Positiva,Coco,"Faringite estreptocócica, escarlatina, impetigo, celulite, febre reumática, glomerulonefrite pós-estreptocócica","Inflamação local (faringite, impetigo); resposta sistêmica em casos de febre reumática e glomerulonefrite (lesão tecidual e infiltração inflamatória)","Geralmente sensível à penicilina, mas resistência crescente a macrolídeos e tetraciclinas em algumas cepas"
Neisseria gonorrhae,Negativa,Coco,"Gonorreia, infecção pélvica, uretrite, cervicite, conjuntivite neonatal","Inflamação mucosa (uretra, colo do útero); liberação de citocinas e pus; risco de doença inflamatória pélvica","Resistência crescente a penicilinas, tetraciclinas, macrolídeos e cefalosporinas; cepas multirresistentes têm dificultado o tratamento"
Shingella sp.,Negativa,Bastonetes,"Shigelose (diarreia, febre, dor abdominal, disenteria)","Inflamação intestinal intensa, com ulceração da mucosa e infiltração de neutrófilos; diarreia com sangue e muco","Resistência a sulfonamidas, ampicilina, tetraciclinas e fluoroquinolonas em várias cepas"
Campylobacter jejuni,Negativa,Espiralada,"Gastroenterite (diarreia, febre, dor abdominal), Síndrome de Guillain-Barré (em casos raros)",Inflamação intestinal com diarreia aquosa ou sanguinolenta; pode haver resposta autoimune pós-infecção (como na Síndrome de Guillain-Barré),"Algumas cepas apresentam resistência a macrolídeos, tetraciclinas e fluoroquinolonas"
Micobacterias,Nenhuma (ácido-álcool resistente),Bastonetes,"Tuberculose pulmonar e extrapulmonar (ossos, rins, sistema nervoso, etc.)",Resposta inflamatória granulomatosa crônica; formação de granulomas com necrose; ativação intensa da imunidade celular,"Alta resistência em cepas multirresistentes (MDR-TB, XDR-TB); resistência à isoniazida, rifampicina, e outros antibióticos usados no tratamento padrão da tuberculose"
